iter kd kf gamma sigma_error1 sigma_error2 sigma_error3 sigma_error4 L
0.000000000000000000e+00 3.205407301167742941e-04 2.834254282171117851e-05 5.280902176267724725e-05 4.179274617981517004e+00 3.595000823783015775e+00 3.607774365606607248e+00 4.096877671823151879e+00 -2.204120294843577540e+03
1.000000000000000000e+00 3.189495911384856671e-04 2.933580409225989132e-05 5.478572029166300960e-05 4.904197855752745028e+00 3.607682155543716185e+00 3.782985296115713325e+00 4.250275344357136831e+00 -2.191703080269055135e+03
2.000000000000000000e+00 3.410004245321491753e-04 2.876720992375673006e-05 4.670560555282901182e-05 4.990894925318219322e+00 3.174330773270184647e+00 3.292475942392705690e+00 4.006153697471441788e+00 -2.119970925798262670e+03
3.000000000000000000e+00 3.868474376134196273e-04 2.905421001429177460e-05 4.405738749690098953e-05 5.801727455990557836e+00 2.931393794255999552e+00 3.327187839022418991e+00 3.392726216337757617e+00 -2.076169294418808022e+03
4.000000000000000000e+00 3.485198950970790186e-04 3.392397441063243639e-05 4.874383552471370364e-05 6.023682984290953613e+00 3.223490375545675413e+00 3.268900961215036816e+00 3.415251632976925134e+00 -2.031343177015685342e+03
5.000000000000000000e+00 3.031763779026777367e-04 3.241332428943650030e-05 4.446249326350097653e-05 6.248262705057657129e+00 3.106558659144453394e+00 2.859808957460676204e+00 3.735816211063907932e+00 -2.031679134785564884e+03
6.000000000000000000e+00 3.108710951466856680e-04 3.506106830792371141e-05 4.132333961480131213e-05 6.564705128646511234e+00 3.212402607545694622e+00 2.680282360484247839e+00 3.864462102702313384e+00 -1.989047238062397355e+03
7.000000000000000000e+00 3.399313843000589743e-04 3.696823900838415867e-05 4.084073293389663443e-05 7.597869826320112985e+00 4.072244487243427358e+00 2.878498480183227848e+00 3.917349070467505356e+00 -1.888058450932207961e+03
8.000000000000000000e+00 3.002088842308953684e-04 3.326782355569262752e-05 3.343909947130360629e-05 7.863116032613279849e+00 4.706588199617195656e+00 2.889220926724664462e+00 3.759765641963967564e+00 -1.888077808135525856e+03
9.000000000000000000e+00 2.954710936078864202e-04 3.547788661151836663e-05 3.563202246606440957e-05 8.227071329933828281e+00 4.722409352046546438e+00 2.923040167803822253e+00 3.945890410125978409e+00 -1.869928638391855429e+03
1.000000000000000000e+01 3.229093062367719108e-04 3.989732697050201886e-05 4.436819919805105205e-05 7.976615390598694511e+00 5.040607645098276635e+00 3.184090324627623758e+00 4.118143468436316290e+00 -1.840142240373327468e+03
