,replicate,t,x
0,0,0.0,396.0
1,0,336.1344537815126,391.0
2,0,672.2689075630252,383.0
3,0,1008.4033613445379,379.0
4,0,1344.5378151260504,383.0
5,0,1680.672268907563,378.0
6,0,2016.8067226890757,368.0
7,0,2352.9411764705883,384.0
8,0,2689.075630252101,363.0
9,0,3025.2100840336134,360.0
10,0,3361.344537815126,365.0
11,0,3697.4789915966385,355.0
12,0,4033.6134453781515,374.0
13,0,4369.747899159664,371.0
14,0,4705.882352941177,376.0
15,0,5042.016806722689,365.0
16,0,5378.151260504202,356.0
17,0,5714.285714285715,364.0
18,0,6050.420168067227,351.0
19,0,6386.55462184874,354.0
20,0,6722.689075630252,327.0
21,0,7058.823529411765,339.0
22,0,7394.957983193277,337.0
23,0,7731.09243697479,322.0
24,0,8067.226890756303,327.0
25,0,8403.361344537816,325.0
26,0,8739.495798319327,318.0
27,0,9075.63025210084,316.0
28,0,9411.764705882353,314.0
29,0,9747.899159663866,314.0
30,0,10084.033613445377,312.0
31,0,10420.16806722689,334.0
32,0,10756.302521008403,315.0
33,0,11092.436974789916,298.0
34,0,11428.57142857143,310.0
35,0,11764.70588235294,314.0
36,0,12100.840336134454,294.0
37,0,12436.974789915967,280.0
38,0,12773.10924369748,297.0
39,0,13109.24369747899,298.0
40,0,13445.378151260504,291.0
41,0,13781.512605042017,276.0
42,0,14117.64705882353,277.0
43,0,14453.781512605043,277.0
44,0,14789.915966386554,262.0
45,0,15126.050420168067,277.0
46,0,15462.18487394958,278.0
47,0,15798.319327731093,278.0
48,0,16134.453781512606,274.0
49,0,16470.58823529412,285.0
50,0,16806.722689075632,275.0
51,0,17142.85714285714,275.0
52,0,17478.991596638654,262.0
53,0,17815.126050420167,272.0
54,0,18151.26050420168,266.0
55,0,18487.394957983193,249.0
56,0,18823.529411764706,261.0
57,0,19159.66386554622,261.0
58,0,19495.798319327732,267.0
59,0,19831.932773109245,255.0
60,0,20168.067226890755,257.0
61,0,20504.201680672268,258.0
62,0,20840.33613445378,259.0
63,0,21176.470588235294,256.0
64,0,21512.605042016807,252.0
65,0,21848.73949579832,251.0
66,0,22184.873949579833,243.0
67,0,22521.008403361346,250.0
68,0,22857.14285714286,230.0
69,0,23193.277310924368,233.0
70,0,23529.41176470588,239.0
71,0,23865.546218487394,233.0
72,0,24201.680672268907,228.0
73,0,24537.81512605042,226.0
74,0,24873.949579831933,226.0
75,0,25210.084033613446,214.0
76,0,25546.21848739496,226.0
77,0,25882.352941176472,227.0
78,0,26218.48739495798,232.0
79,0,26554.621848739494,226.0
80,0,26890.756302521007,227.0
81,0,27226.89075630252,220.0
82,0,27563.025210084033,199.0
83,0,27899.159663865546,220.0
84,0,28235.29411764706,211.0
85,0,28571.428571428572,209.0
86,0,28907.563025210085,201.0
87,0,29243.697478991595,208.0
88,0,29579.831932773108,210.0
89,0,29915.96638655462,189.0
90,0,30252.100840336134,190.0
91,0,30588.235294117647,204.0
92,0,30924.36974789916,212.0
93,0,31260.504201680673,205.0
94,0,31596.638655462186,190.0
95,0,31932.7731092437,192.0
96,0,32268.907563025212,195.0
97,0,32605.04201680672,197.0
