iter kd skd kf skf gamma sgamma sigma_error1 sigma_error2 sigma_error3 sigma_error4 L
0.000000000000000000e+00 3.026364641375682302e-04 2.976450420217094565e-05 3.270438434917571327e-05 2.978070680080539985e-06 5.423187820867112505e-05 4.683207043577923525e-06 3.961986439906210578e+00 4.043217250767693116e+00 3.841570537620898840e+00 3.984041236881056935e+00 -1.854514286780473185e+03
1.000000000000000000e+00 3.129679792141473087e-04 2.918167477690094451e-05 3.198574201031656580e-05 2.779819392835826368e-06 5.592420768457921230e-05 5.038365755879701616e-06 4.096259995132038867e+00 4.367746273589125927e+00 3.965443073740891666e+00 4.310794465166349454e+00 -1.840138958417516051e+03
2.000000000000000000e+00 3.245726617318895756e-04 2.809174728607107593e-05 3.380267652160526243e-05 2.865410677946872510e-06 5.564342238292450341e-05 4.883208422636385544e-06 3.982844873093749793e+00 4.588874725639089824e+00 4.032093981439009767e+00 4.227548504275892682e+00 -1.812104850263958042e+03
3.000000000000000000e+00 3.645626248804782776e-04 2.796415956122054453e-05 3.389791993850036058e-05 2.931617048958842594e-06 5.721548684454870432e-05 5.178041270415715523e-06 4.340239295604614078e+00 4.779309611680216285e+00 4.169068344283439309e+00 4.238058082973770624e+00 -1.815788523713889845e+03
4.000000000000000000e+00 3.503836090259969068e-04 2.716461031700314246e-05 3.607866255471300031e-05 2.907069911201199858e-06 5.350475973210589499e-05 4.704192995367923052e-06 4.815898366517355811e+00 4.770927640967565608e+00 4.214893357349557945e+00 4.392998692801401539e+00 -1.790217332524184485e+03
5.000000000000000000e+00 3.417651675796420626e-04 2.757490794325387245e-05 3.840305180589482462e-05 2.824041327812198794e-06 5.498525763570902075e-05 4.738705623214027237e-06 4.682294087208981104e+00 4.933944783762797215e+00 4.473595962391558878e+00 4.157686487086798444e+00 -1.783363426608538020e+03
6.000000000000000000e+00 3.475271759792237418e-04 2.714781738862505982e-05 3.825488140359705049e-05 2.960351753628387765e-06 5.782035166278253114e-05 4.246459972039102409e-06 4.944354064281743177e+00 4.804125543715630720e+00 4.658546835967051436e+00 3.918213843909660543e+00 -1.782664645855003982e+03
7.000000000000000000e+00 3.103222990727016366e-04 2.499260770501697169e-05 3.505564972201390405e-05 2.955184180810126761e-06 5.906612965569182927e-05 4.228712116523403858e-06 4.771403640077836350e+00 4.868445819820044207e+00 5.158821021451722721e+00 4.034311210338016096e+00 -1.770196579100975896e+03
8.000000000000000000e+00 3.224059025536689556e-04 2.479363650421694245e-05 3.531266989676003584e-05 2.910198563790546519e-06 5.717465120757465224e-05 4.198237413214739764e-06 4.914755173471701433e+00 5.137550299602403392e+00 5.280770165718914555e+00 4.154343146094294781e+00 -1.761312881784287129e+03
9.000000000000000000e+00 3.224374685951997147e-04 2.635519734621282804e-05 3.480728710035289831e-05 2.985675724377655236e-06 5.745441772434232194e-05 4.200736090187177888e-06 4.975673023769052961e+00 5.798226512121241072e+00 5.182188685274758733e+00 4.070760352158375284e+00 -1.759312293254506585e+03
1.000000000000000000e+01 3.412112131699905669e-04 2.622211512915286846e-05 3.445994019762081776e-05 3.304854361039778196e-06 6.294809261748560169e-05 4.241111999144113282e-06 5.445642650266741214e+00 5.903217263706857842e+00 5.520100650504989659e+00 3.979097666294189484e+00 -1.756294222850080587e+03
1.100000000000000000e+01 3.415287770152889845e-04 2.770733478252606336e-05 3.628476941229192215e-05 2.989256305616916659e-06 6.233723073290135504e-05 4.144448102998840602e-06 5.877070532433454453e+00 5.660673355750547309e+00 5.634705361143767632e+00 4.031995375025615225e+00 -1.751244369036093758e+03
1.200000000000000000e+01 3.305924343237497576e-04 2.552703434453995618e-05 3.741901707565316293e-05 3.010557375323465035e-06 6.140609654107030528e-05 4.141245368029473869e-06 5.349742055583560862e+00 6.192795988033065413e+00 5.406532350980065793e+00 4.138592177860265231e+00 -1.746253995217979082e+03
1.300000000000000000e+01 3.460895897830097560e-04 2.563367753334881539e-05 3.812998952914303298e-05 2.907350855772189144e-06 6.300632490705055007e-05 4.205123830418801915e-06 5.688537716050997339e+00 6.469952147309717461e+00 5.495140419308476964e+00 4.164791335650599002e+00 -1.738134616963425287e+03
1.400000000000000000e+01 3.241361876092964129e-04 2.578302260009412243e-05 3.968018188984839736e-05 2.913478827198664477e-06 6.344348236940847727e-05 4.280544949793896274e-06 5.647030468346340371e+00 6.489332261987597050e+00 5.406980942427241921e+00 4.519663785532587852e+00 -1.736934958464427837e+03
1.500000000000000000e+01 3.472140673682657373e-04 2.969401603475406445e-05 3.832261261016214611e-05 2.682917085888599613e-06 6.107928560268829801e-05 4.377766363295446674e-06 5.846802162239399081e+00 6.668410722722358130e+00 5.743293583706436500e+00 4.265494610442356560e+00 -1.735623616134241047e+03
1.600000000000000000e+01 3.409023952787984860e-04 2.986931865566904259e-05 3.963408925330297056e-05 2.679090489074247114e-06 6.244130312554478689e-05 4.416630881523977006e-06 6.026271916235577564e+00 6.510962014489306782e+00 5.517313011261596678e+00 4.617209720514298787e+00 -1.735422132294689163e+03
1.700000000000000000e+01 3.675289891523105109e-04 3.145538601796051925e-05 3.968942442491800703e-05 2.550936629937692364e-06 5.904917351233761888e-05 4.086074792752167559e-06 5.777955363132106115e+00 6.378148315221354281e+00 5.768175568997081726e+00 4.682931862635610898e+00 -1.733321551547953504e+03
1.800000000000000000e+01 3.562522008352399217e-04 3.250520280070081481e-05 3.768037371485825215e-05 2.561381073618886745e-06 5.882797564465536806e-05 4.111652776142529982e-06 5.083530829156539532e+00 7.311841864314647665e+00 6.300559673187381193e+00 4.688715538140726835e+00 -1.730032515316391937e+03
1.900000000000000000e+01 3.679911727890670383e-04 3.140799086151586299e-05 3.889869088824164911e-05 2.669989966043425768e-06 6.148994988811099210e-05 4.280977787606172527e-06 5.507175585529769712e+00 6.520830950065763076e+00 5.983268432962863592e+00 4.578433966972770719e+00 -1.729051651109393788e+03
2.000000000000000000e+01 3.794016638526591725e-04 3.137680360555053781e-05 3.659584807080401683e-05 2.717226395314969346e-06 6.164282517678904450e-05 4.012761049327398974e-06 5.678533668756641895e+00 6.230267377893312641e+00 5.553054391859830297e+00 4.865784287116483142e+00 -1.723450505849100864e+03
