,replicate,t,x
0,0,0.0,420.0
1,0,336.1344537815126,427.0
2,0,672.2689075630252,421.0
3,0,1008.4033613445379,438.0
4,0,1344.5378151260504,456.0
5,0,1680.672268907563,427.0
6,0,2016.8067226890757,409.0
7,0,2352.9411764705883,417.0
8,0,2689.075630252101,416.0
9,0,3025.2100840336134,414.0
10,0,3361.344537815126,416.0
11,0,3697.4789915966385,400.0
12,0,4033.6134453781515,405.0
13,0,4369.747899159664,412.0
14,0,4705.882352941177,397.0
15,0,5042.016806722689,406.0
16,0,5378.151260504202,405.0
17,0,5714.285714285715,406.0
18,0,6050.420168067227,393.0
19,0,6386.55462184874,405.0
20,0,6722.689075630252,412.0
21,0,7058.823529411765,414.0
22,0,7394.957983193277,417.0
23,0,7731.09243697479,421.0
24,0,8067.226890756303,408.0
25,0,8403.361344537816,422.0
26,0,8739.495798319327,418.0
27,0,9075.63025210084,415.0
28,0,9411.764705882353,431.0
29,0,9747.899159663866,404.0
30,0,10084.033613445377,420.0
31,0,10420.16806722689,427.0
32,0,10756.302521008403,404.0
33,0,11092.436974789916,418.0
34,0,11428.57142857143,400.0
35,0,11764.70588235294,405.0
36,0,12100.840336134454,420.0
37,0,12436.974789915967,419.0
38,0,12773.10924369748,417.0
39,0,13109.24369747899,425.0
40,0,13445.378151260504,424.0
41,0,13781.512605042017,417.0
42,0,14117.64705882353,409.0
43,0,14453.781512605043,400.0
44,0,14789.915966386554,401.0
45,0,15126.050420168067,413.0
46,0,15462.18487394958,403.0
47,0,15798.319327731093,405.0
48,0,16134.453781512606,419.0
49,0,16470.58823529412,400.0
50,0,16806.722689075632,415.0
51,0,17142.85714285714,410.0
52,0,17478.991596638654,418.0
53,0,17815.126050420167,415.0
54,0,18151.26050420168,413.0
55,0,18487.394957983193,414.0
56,0,18823.529411764706,412.0
57,0,19159.66386554622,404.0
58,0,19495.798319327732,420.0
59,0,19831.932773109245,420.0
60,0,20168.067226890755,416.0
61,0,20504.201680672268,425.0
62,0,20840.33613445378,422.0
63,0,21176.470588235294,421.0
64,0,21512.605042016807,426.0
65,0,21848.73949579832,413.0
66,0,22184.873949579833,427.0
67,0,22521.008403361346,416.0
68,0,22857.14285714286,413.0
69,0,23193.277310924368,411.0
70,0,23529.41176470588,395.0
71,0,23865.546218487394,412.0
72,0,24201.680672268907,408.0
73,0,24537.81512605042,423.0
74,0,24873.949579831933,416.0
75,0,25210.084033613446,425.0
76,0,25546.21848739496,409.0
77,0,25882.352941176472,424.0
78,0,26218.48739495798,417.0
79,0,26554.621848739494,412.0
80,0,26890.756302521007,416.0
81,0,27226.89075630252,432.0
82,0,27563.025210084033,416.0
83,0,27899.159663865546,415.0
84,0,28235.29411764706,427.0
85,0,28571.428571428572,426.0
86,0,28907.563025210085,437.0
87,0,29243.697478991595,420.0
88,0,29579.831932773108,411.0
89,0,29915.96638655462,435.0
90,0,30252.100840336134,439.0
91,0,30588.235294117647,439.0
92,0,30924.36974789916,442.0
93,0,31260.504201680673,447.0
94,0,31596.638655462186,432.0
95,0,31932.7731092437,432.0
96,0,32268.907563025212,440.0
97,0,32605.04201680672,445.0
98,0,32941.17647058824,438.0
99,0,33277.31092436975,439.0
100,0,33613.445378151264,457.0
101,0,33949.57983193277,443.0
102,0,34285.71428571428,436.0
103,0,34621.8487394958,438.0
104,0,34957.98319327731,435.0
105,0,35294.117647058825,446.0
106,0,35630.252100840335,465.0
107,0,35966.38655462185,453.0
108,0,36302.52100840336,455.0
109,0,36638.65546218488,453.0
110,0,36974.78991596639,437.0
111,0,37310.924369747896,446.0
112,0,37647.05882352941,450.0
113,0,37983.19327731092,445.0
114,0,38319.32773109244,450.0
115,0,38655.46218487395,437.0
116,0,38991.596638655465,471.0
117,0,39327.731092436974,458.0
118,0,39663.86554621849,455.0
119,0,40000.0,456.0
0,1,0.0,424.0
1,1,336.1344537815126,437.0
2,1,672.2689075630252,441.0
3,1,1008.4033613445379,437.0
4,1,1344.5378151260504,430.0
5,1,1680.672268907563,429.0
6,1,2016.8067226890757,419.0
7,1,2352.9411764705883,420.0
8,1,2689.075630252101,434.0
9,1,3025.2100840336134,432.0
10,1,3361.344537815126,433.0
11,1,3697.4789915966385,425.0
12,1,4033.6134453781515,418.0
13,1,4369.747899159664,432.0
14,1,4705.882352941177,425.0
15,1,5042.016806722689,426.0
16,1,5378.151260504202,415.0
17,1,5714.285714285715,430.0
18,1,6050.420168067227,426.0
19,1,6386.55462184874,427.0
20,1,6722.689075630252,424.0
21,1,7058.823529411765,437.0
22,1,7394.957983193277,450.0
23,1,7731.09243697479,428.0
24,1,8067.226890756303,436.0
25,1,8403.361344537816,427.0
26,1,8739.495798319327,438.0
27,1,9075.63025210084,432.0
28,1,9411.764705882353,441.0
29,1,9747.899159663866,425.0
30,1,10084.033613445377,424.0
31,1,10420.16806722689,444.0
32,1,10756.302521008403,435.0
33,1,11092.436974789916,421.0
34,1,11428.57142857143,454.0
35,1,11764.70588235294,444.0
36,1,12100.840336134454,429.0
37,1,12436.974789915967,428.0
38,1,12773.10924369748,438.0
39,1,13109.24369747899,448.0
40,1,13445.378151260504,457.0
41,1,13781.512605042017,447.0
42,1,14117.64705882353,441.0
43,1,14453.781512605043,460.0
44,1,14789.915966386554,462.0
45,1,15126.050420168067,462.0
46,1,15462.18487394958,452.0
47,1,15798.319327731093,467.0
48,1,16134.453781512606,454.0
49,1,16470.58823529412,450.0
50,1,16806.722689075632,440.0
51,1,17142.85714285714,462.0
52,1,17478.991596638654,456.0
53,1,17815.126050420167,448.0
54,1,18151.26050420168,459.0
55,1,18487.394957983193,473.0
56,1,18823.529411764706,466.0
57,1,19159.66386554622,467.0
58,1,19495.798319327732,464.0
59,1,19831.932773109245,476.0
60,1,20168.067226890755,488.0
61,1,20504.201680672268,499.0
62,1,20840.33613445378,470.0
63,1,21176.470588235294,484.0
64,1,21512.605042016807,475.0
65,1,21848.73949579832,479.0
66,1,22184.873949579833,461.0
67,1,22521.008403361346,484.0
68,1,22857.14285714286,481.0
69,1,23193.277310924368,477.0
70,1,23529.41176470588,480.0
71,1,23865.546218487394,471.0
72,1,24201.680672268907,491.0
73,1,24537.81512605042,487.0
74,1,24873.949579831933,502.0
75,1,25210.084033613446,497.0
76,1,25546.21848739496,505.0
77,1,25882.352941176472,496.0
78,1,26218.48739495798,510.0
79,1,26554.621848739494,506.0
80,1,26890.756302521007,518.0
81,1,27226.89075630252,509.0
82,1,27563.025210084033,500.0
83,1,27899.159663865546,490.0
84,1,28235.29411764706,507.0
85,1,28571.428571428572,501.0
86,1,28907.563025210085,498.0
87,1,29243.697478991595,499.0
88,1,29579.831932773108,500.0
89,1,29915.96638655462,500.0
90,1,30252.100840336134,514.0
91,1,30588.235294117647,488.0
92,1,30924.36974789916,514.0
93,1,31260.504201680673,490.0
94,1,31596.638655462186,478.0
95,1,31932.7731092437,482.0
96,1,32268.907563025212,493.0
97,1,32605.04201680672,491.0
98,1,32941.17647058824,493.0
99,1,33277.31092436975,499.0
100,1,33613.445378151264,499.0
101,1,33949.57983193277,506.0
102,1,34285.71428571428,501.0
103,1,34621.8487394958,506.0
104,1,34957.98319327731,504.0
105,1,35294.117647058825,505.0
106,1,35630.252100840335,500.0
107,1,35966.38655462185,488.0
108,1,36302.52100840336,491.0
109,1,36638.65546218488,477.0
110,1,36974.78991596639,481.0
111,1,37310.924369747896,483.0
112,1,37647.05882352941,474.0
113,1,37983.19327731092,479.0
114,1,38319.32773109244,477.0
115,1,38655.46218487395,490.0
116,1,38991.596638655465,488.0
117,1,39327.731092436974,482.0
118,1,39663.86554621849,482.0
119,1,40000.0,490.0
0,2,0.0,403.0
1,2,336.1344537815126,400.0
2,2,672.2689075630252,409.0
3,2,1008.4033613445379,405.0
4,2,1344.5378151260504,422.0
5,2,1680.672268907563,422.0
6,2,2016.8067226890757,409.0
7,2,2352.9411764705883,414.0
8,2,2689.075630252101,396.0
9,2,3025.2100840336134,402.0
10,2,3361.344537815126,430.0
11,2,3697.4789915966385,410.0
12,2,4033.6134453781515,398.0
13,2,4369.747899159664,397.0
14,2,4705.882352941177,397.0
15,2,5042.016806722689,406.0
16,2,5378.151260504202,388.0
17,2,5714.285714285715,402.0
18,2,6050.420168067227,395.0
19,2,6386.55462184874,390.0
20,2,6722.689075630252,396.0
21,2,7058.823529411765,397.0
22,2,7394.957983193277,393.0
23,2,7731.09243697479,399.0
24,2,8067.226890756303,398.0
25,2,8403.361344537816,387.0
26,2,8739.495798319327,403.0
27,2,9075.63025210084,403.0
28,2,9411.764705882353,391.0
29,2,9747.899159663866,418.0
30,2,10084.033613445377,414.0
31,2,10420.16806722689,408.0
32,2,10756.302521008403,419.0
33,2,11092.436974789916,405.0
34,2,11428.57142857143,406.0
35,2,11764.70588235294,413.0
36,2,12100.840336134454,403.0
37,2,12436.974789915967,420.0
38,2,12773.10924369748,399.0
39,2,13109.24369747899,416.0
40,2,13445.378151260504,419.0
41,2,13781.512605042017,422.0
42,2,14117.64705882353,396.0
43,2,14453.781512605043,404.0
44,2,14789.915966386554,389.0
45,2,15126.050420168067,390.0
46,2,15462.18487394958,387.0
47,2,15798.319327731093,391.0
48,2,16134.453781512606,398.0
49,2,16470.58823529412,394.0
50,2,16806.722689075632,392.0
51,2,17142.85714285714,385.0
52,2,17478.991596638654,384.0
53,2,17815.126050420167,390.0
54,2,18151.26050420168,380.0
55,2,18487.394957983193,383.0
56,2,18823.529411764706,399.0
57,2,19159.66386554622,399.0
58,2,19495.798319327732,402.0
59,2,19831.932773109245,393.0
60,2,20168.067226890755,411.0
61,2,20504.201680672268,396.0
62,2,20840.33613445378,384.0
63,2,21176.470588235294,381.0
64,2,21512.605042016807,384.0
65,2,21848.73949579832,399.0
66,2,22184.873949579833,398.0
67,2,22521.008403361346,393.0
68,2,22857.14285714286,401.0
69,2,23193.277310924368,411.0
70,2,23529.41176470588,390.0
71,2,23865.546218487394,410.0
72,2,24201.680672268907,414.0
73,2,24537.81512605042,408.0
74,2,24873.949579831933,412.0
75,2,25210.084033613446,412.0
76,2,25546.21848739496,406.0
77,2,25882.352941176472,397.0
78,2,26218.48739495798,408.0
79,2,26554.621848739494,405.0
80,2,26890.756302521007,393.0
81,2,27226.89075630252,397.0
82,2,27563.025210084033,405.0
83,2,27899.159663865546,412.0
84,2,28235.29411764706,410.0
85,2,28571.428571428572,402.0
86,2,28907.563025210085,401.0
87,2,29243.697478991595,405.0
88,2,29579.831932773108,396.0
89,2,29915.96638655462,402.0
90,2,30252.100840336134,395.0
91,2,30588.235294117647,392.0
92,2,30924.36974789916,399.0
93,2,31260.504201680673,403.0
94,2,31596.638655462186,400.0
95,2,31932.7731092437,396.0
96,2,32268.907563025212,385.0
97,2,32605.04201680672,399.0
98,2,32941.17647058824,404.0
99,2,33277.31092436975,407.0
100,2,33613.445378151264,391.0
101,2,33949.57983193277,393.0
102,2,34285.71428571428,407.0
103,2,34621.8487394958,424.0
104,2,34957.98319327731,409.0
105,2,35294.117647058825,408.0
106,2,35630.252100840335,412.0
107,2,35966.38655462185,409.0
108,2,36302.52100840336,396.0
109,2,36638.65546218488,410.0
110,2,36974.78991596639,406.0
111,2,37310.924369747896,395.0
112,2,37647.05882352941,413.0
113,2,37983.19327731092,399.0
114,2,38319.32773109244,408.0
115,2,38655.46218487395,409.0
116,2,38991.596638655465,412.0
117,2,39327.731092436974,412.0
118,2,39663.86554621849,413.0
119,2,40000.0,410.0
0,3,0.0,442.0
1,3,336.1344537815126,445.0
2,3,672.2689075630252,450.0
3,3,1008.4033613445379,429.0
4,3,1344.5378151260504,450.0
5,3,1680.672268907563,446.0
6,3,2016.8067226890757,444.0
7,3,2352.9411764705883,455.0
8,3,2689.075630252101,438.0
